SubPlot;idTree;Xfield;Yfield;Family;spName;Genus;Species;CircCorr;species
4;103959;129,0000000000000;92,50000000000000;Clusiaceae;Moronobea_coccinea;Moronobea;coccinea;163,000000000000;coccinea
4;103961;128,0000000000000;106,50000000000000;Chrysobalanaceae;Licania_alba;Licania;alba;58,500000000000;alba
4;103962;126,0000000000000;109,00000000000000;Lecythidaceae;Gustavia_hexapetala;Gustavia;hexapetala;44,000000000000;hexapetala
4;103963;128,0000000000000;114,00000000000000;Apocynaceae;Aspidosperma_cruentum;Aspidosperma;cruentum;113,000000000000;cruentum
4;103964;128,0000000000000;116,00000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;86,500000000000;persistens
4;103965;129,0000000000000;118,00000000000000;Fabaceae;Dicorynia_guianensis;Dicorynia;guianensis;109,000000000000;guianensis
4;103967;131,5000000000000;119,00000000000000;Fabaceae;Dicorynia_guianensis;Dicorynia;guianensis;52,000000000000;guianensis
4;103969;167,5000000000000;83,00000000000000;Apocynaceae;Ambelania_acida;Ambelania;acida;42,000000000000;acida
4;103971;138,0000000000000;105,50000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;125,500000000000;falcata
4;103973;136,5000000000000;102,00000000000000;Lecythidaceae;Lecythis_zabucajo;Lecythis;zabucajo;131,500000000000;zabucajo
4;103976;132,0000000000000;97,50000000000000;Sapotaceae;Pradosia_cochlearia;Pradosia;cochlearia;118,000000000000;cochlearia
4;103977;131,5000000000000;91,50000000000000;Moraceae;Helicostylis_tomentosa;Helicostylis;tomentosa;50,000000000000;tomentosa
4;103978;126,0000000000000;51,50000000000000;Putranjivaceae;Drypetes_fanshawei;Drypetes;fanshawei;51,500000000000;fanshawei
4;103982;136,0000000000000;85,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;50,000000000000;persistens
4;103985;132,0000000000000;83,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;182,500000000000;falcata
4;103987;132,5000000000000;77,00000000000000;Malvaceae;Catostemma_fragrans;Catostemma;fragrans;88,000000000000;fragrans
4;103988;135,5000000000000;77,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;69,000000000000;persistens
4;103990;134,0000000000000;75,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;73,000000000000;falcata
4;103991;135,5000000000000;66,50000000000000;Linaceae;Hebepetalum_humiriifolium;Hebepetalum;humiriifolium;68,000000000000;humiriifolium
4;103993;132,5000000000000;55,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;109,000000000000;falcata
4;103994;136,0000000000000;55,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;44,000000000000;persistens
4;103995;136,0000000000000;54,50000000000000;Malvaceae;Sterculia_speciosa;Sterculia;speciosa;66,000000000000;speciosa
4;103997;137,0000000000000;47,00000000000000;Lecythidaceae;Lecythis_chartacea;Lecythis;chartacea;189,000000000000;chartacea
4;104004;135,5000000000000;36,00000000000000;Sapotaceae;Pradosia_cochlearia;Pradosia;cochlearia;52,500000000000;cochlearia
4;104005;132,5000000000000;36,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;103,500000000000;falcata
4;104006;132,0000000000000;33,00000000000000;Myristicaceae;Iryanthera_sagotiana;Iryanthera;sagotiana;73,500000000000;sagotiana
4;104007;136,0000000000000;32,00000000000000;Malvaceae;Theobroma_guianense;Theobroma;guianense;83,750000000000;guianense
4;104008;135,0000000000000;29,00000000000000;Malvaceae;Theobroma_guianense;Theobroma;guianense;61,500000000000;guianense
4;104009;135,0000000000000;29,00000000000000;Sapotaceae;Chrysophyllum_sanguinolentum;Chrysophyllum;sanguinolentum;80,000000000000;sanguinolentum
4;104011;135,5000000000000;22,50000000000000;Chrysobalanaceae;Licania_alba;Licania;alba;55,000000000000;alba
4;104012;130,0000000000000;24,00000000000000;Peraceae;Pogonophora_schomburgkiana;Pogonophora;schomburgkiana;70,500000000000;schomburgkiana
4;104013;131,5000000000000;21,50000000000000;Lecythidaceae;Gustavia_hexapetala;Gustavia;hexapetala;46,000000000000;hexapetala
4;104014;134,5000000000000;17,00000000000000;Fabaceae;Bocoa_prouacensis;Bocoa;prouacensis;82,500000000000;prouacensis
4;104015;137,5000000000000;14,00000000000000;Sapotaceae;Manilkara_bidentata;Manilkara;bidentata;147,000000000000;bidentata
4;104016;136,5000000000000;14,00000000000000;Melastomataceae;Miconia_tschudyoides;Miconia;tschudyoides;43,000000000000;tschudyoides
4;104017;131,5000000000000;11,00000000000000;Chrysobalanaceae;Licania_alba;Licania;alba;60,000000000000;alba
4;104019;131,5000000000000;3,50000000000000;Lecythidaceae;Gustavia_hexapetala;Gustavia;hexapetala;46,000000000000;hexapetala
4;104022;136,0000000000000;5,00000000000000;Cordiaceae;Cordia_sagotii;Cordia;sagotii;48,500000000000;sagotii
4;104023;139,0000000000000;4,00000000000000;Sapotaceae;Chrysophyllum_sanguinolentum;Chrysophyllum;sanguinolentum;102,000000000000;sanguinolentum
4;104024;134,0000000000000;6,00000000000000;Malvaceae;Sterculia_pruriens;Sterculia;pruriens;53,500000000000;pruriens
4;104025;136,0000000000000;11,50000000000000;Cordiaceae;Cordia_sagotii;Cordia;sagotii;53,000000000000;sagotii
4;104026;245,5000000000000;30,00000000000000;Arecaceae;Oenocarpus_bataua;Oenocarpus;bataua var. bataua;59,000000000000;bataua
4;104027;174,0000000000000;13,00000000000000;Fabaceae;Bocoa_prouacensis;Bocoa;prouacensis;53,000000000000;prouacensis
4;104028;180,5000000000000;11,50000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;200,000000000000;falcata
4;104029;149,5000000000000;9,00000000000000;Meliaceae;Carapa_surinamensis;Carapa;surinamensis;110,500000000000;surinamensis
4;104030;148,5000000000000;9,50000000000000;Lecythidaceae;Eschweilera_coriacea;Eschweilera;coriacea;46,000000000000;coriacea
4;104032;140,5000000000000;8,00000000000000;Euphorbiaceae;Conceveiba_guianensis;Conceveiba;guianensis;37,000000000000;guianensis
4;104033;142,0000000000000;16,00000000000000;Lecythidaceae;Eschweilera_sagotiana;Eschweilera;sagotiana;68,000000000000;sagotiana
4;104034;141,5000000000000;20,00000000000000;Fabaceae;Bocoa_prouacensis;Bocoa;prouacensis;45,000000000000;prouacensis
4;104035;139,0000000000000;19,50000000000000;Lecythidaceae;Eschweilera_sagotiana;Eschweilera;sagotiana;149,500000000000;sagotiana
4;104037;147,5000000000000;24,00000000000000;Lecythidaceae;Eschweilera_coriacea;Eschweilera;coriacea;135,000000000000;coriacea
4;104038;143,5000000000000;26,50000000000000;Myristicaceae;Iryanthera_sagotiana;Iryanthera;sagotiana;66,000000000000;sagotiana
4;104039;143,5000000000000;27,50000000000000;Euphorbiaceae;Sandwithia_guyanensis;Sandwithia;guyanensis;37,000000000000;guyanensis
4;104040;141,0000000000000;26,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;207,000000000000;falcata
4;104041;141,5000000000000;24,50000000000000;Chrysobalanaceae;Licania_alba;Licania;alba;68,000000000000;alba
4;104042;144,0000000000000;39,50000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;164,000000000000;falcata
4;104045;141,5000000000000;44,50000000000000;Lecythidaceae;Gustavia_hexapetala;Gustavia;hexapetala;39,000000000000;hexapetala
4;104047;146,5000000000000;46,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;67,000000000000;persistens
4;104049;141,0000000000000;50,00000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;46,000000000000;persistens
4;104050;139,5000000000000;51,50000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;80,500000000000;falcata
4;104051;139,5000000000000;55,00000000000000;Burseraceae;Protium_opacum;Protium;opacum subsp. rabelianum;106,000000000000;opacum
4;104052;141,0000000000000;56,00000000000000;Lecythidaceae;Eschweilera_sagotiana;Eschweilera;sagotiana;95,500000000000;sagotiana
4;104054;144,0000000000000;63,00000000000000;Ebenaceae;Diospyros_carbonaria;Diospyros;carbonaria;72,000000000000;carbonaria
4;104055;140,5000000000000;65,50000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;58,000000000000;persistens
4;104056;143,0000000000000;68,00000000000000;Lecythidaceae;Lecythis_persistens;Lecythis;persistens subsp. aurantiaca;47,000000000000;persistens
4;104057;144,0000000000000;70,00000000000000;Fabaceae;Eperua_falcata;Eperua;falcata;147,500000000000;falcata
